,Date,Name of State / UT,Total Confirmed cases (Indian National),Total Confirmed cases ( Foreign National ),Cured/Discharged/Migrated,Latitude,Longitude,Death,Total Confirmed cases
185,2020-03-17,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
186,2020-03-17,Telengana,3,2,1,18.1124,79.0193,0,5
187,2020-03-17,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
188,2020-03-17,Union Territory of Ladakh,6,0,0,34.2996,78.2932,0,6
189,2020-03-17,Uttar Pradesh,14,1,5,26.8467,80.9462,0,15
190,2020-03-17,Uttarakhand,1,0,0,30.0668,79.0193,0,1
191,2020-03-18,Andhra Pradesh,1,0,0,15.9129,79.74,0,1
192,2020-03-18,Delhi,9,1,2,28.7041,77.1025,1,10
193,2020-03-18,Haryana,3,14,0,29.0588,76.0856,0,17
194,2020-03-18,Karnataka,11,0,0,15.3173,75.7139,1,11
195,2020-03-18,Kerala,25,2,3,10.8505,76.2711,0,27
196,2020-03-18,Maharashtra,39,3,0,19.7515,75.7139,1,42
197,2020-03-18,Odisha,1,0,0,20.9517,85.0985,0,1
198,2020-03-18,Puducherry,1,0,0,11.9416,79.8083,0,1
199,2020-03-18,Punjab,1,0,0,31.1471,75.3412,0,1
200,2020-03-18,Rajasthan,2,2,3,27.0238,74.2179,0,4
201,2020-03-18,Tamil Nadu,1,0,0,11.1271,78.6569,0,1
202,2020-03-18,Telengana,4,2,1,18.1124,79.0193,0,6
203,2020-03-18,Union Territory of Jammu and Kashmir,3,0,0,33.7782,76.5762,0,3
204,2020-03-18,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0,8
205,2020-03-18,Uttar Pradesh,15,1,5,26.8467,80.9462,0,16
206,2020-03-18,Uttarakhand,1,0,0,30.0668,79.0193,0,1
207,2020-03-18,West Bengal,1,0,0,22.9868,87.855,0,1
208,2020-03-19,Andhra Pradesh,2,0,0,15.9129,79.74,0,2
209,2020-03-19,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
210,2020-03-19,Delhi,11,1,3,28.7041,77.1025,1,12
211,2020-03-19,Haryana,3,14,0,29.0588,76.0856,0,17
212,2020-03-19,Karnataka,14,0,0,15.3173,75.7139,1,14
213,2020-03-19,Kerala,25,2,3,10.8505,76.2711,0,27
214,2020-03-19,Maharashtra,44,3,0,19.7515,75.7139,1,47
215,2020-03-19,Odisha,1,0,0,20.9517,85.0985,0,1
216,2020-03-19,Puducherry,1,0,0,11.9416,79.8083,0,1
217,2020-03-19,Punjab,2,0,0,31.1471,75.3412,1,2
218,2020-03-19,Rajasthan,5,2,3,27.0238,74.2179,0,7
219,2020-03-19,Tamil Nadu,2,0,1,11.1271,78.6569,0,2
220,2020-03-19,Telengana,4,2,1,18.1124,79.0193,0,6
221,2020-03-19,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
222,2020-03-19,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
223,2020-03-19,Union Territory of Ladakh,8,0,0,34.2996,78.2932,0,8
224,2020-03-19,Uttar Pradesh,18,1,9,26.8467,80.9462,0,19
225,2020-03-19,Uttarakhand,1,0,0,30.0668,79.0193,0,1
226,2020-03-19,West Bengal,1,0,0,22.9868,87.855,0,1
227,2020-03-20,Andhra Pradesh,2,0,0,15.9129,79.74,0,2
228,2020-03-20,Chhattisgarh,1,0,0,21.2787,81.8661,0,1
229,2020-03-20,Delhi,16,1,3,28.7041,77.1025,1,17
230,2020-03-20,Gujarat,2,0,0,22.2587,71.1924,0,2
231,2020-03-20,Haryana,3,14,0,29.0588,76.0856,0,17
232,2020-03-20,Karnataka,15,0,0,15.3173,75.7139,1,15
233,2020-03-20,Kerala,26,2,3,10.8505,76.2711,0,28
234,2020-03-20,Maharashtra,44,3,0,19.7515,75.7139,1,47
235,2020-03-20,Odisha,1,0,0,20.9517,85.0985,0,1
236,2020-03-20,Puducherry,1,0,0,11.9416,79.8083,0,1
237,2020-03-20,Punjab,2,0,0,31.1471,75.3412,1,2
238,2020-03-20,Rajasthan,5,2,3,27.0238,74.2179,0,7
239,2020-03-20,Tamil Nadu,3,0,1,11.1271,78.6569,0,3
240,2020-03-20,Telengana,7,9,1,18.1124,79.0193,0,16
241,2020-03-20,Union Territory of Chandigarh,1,0,0,30.7333,76.7794,0,1
242,2020-03-20,Union Territory of Jammu and Kashmir,4,0,0,33.7782,76.5762,0,4
243,2020-03-20,Union Territory of Ladakh,10,0,0,34.2996,78.2932,0,10
244,2020-03-20,Uttar Pradesh,18,1,9,26.8467,80.9462,0,19
245,2020-03-20,Uttarakhand,1,0,0,30.0668,79.0193,0,1
246,2020-03-20,West Bengal,1,0,0,22.9868,87.855,0,1
247,2020-03-21,Andhra Pradesh,3,0,0,15.9129,79.74,0,3
248,2020-03-21,Chandigarh,1,0,0,30.7333,76.7794,0,1
